datetime,A,B,poměr,odchylka,pohlaví,věk
2025-09-26 16:12:06,95.19,61.62,1.5448,4.53,1,20-40
2025-09-26 16:14:00,93.37,63.85,1.4623,9.62,1,20-40
2025-09-26 16:17:06,64.84,41.4,1.5662,3.20,0,0-10
2025-09-26 16:20:03,87.55,55.79,1.5693,3.01,1,60-80
2025-09-26 16:22:45,86.39,53.81,1.6055,0.78,1,20-40
2025-09-26 16:26:21,83.06,52.76,1.5743,2.70,0,40-60
2025-09-26 16:28:37,82.64,53.61,1.5415,4.73,1,20-40
2025-09-26 16:48:32,94.02,59.68,1.5754,2.63,1,40-60
2025-09-26 16:50:50,85.84,53.1,1.6166,0.09,0,40-60
2025-09-26 16:58:33,89.18,58.79,1.5169,6.25,1,40-60
2025-09-26 17:00:16,89.4,59.14,1.5117,6.57,1,60-80
2025-09-26 17:03:53,83.59,47.93,1.7440,7.79,1,20-40
2025-09-26 17:21:23,83.8,53.45,1.5678,3.10,0,20-40
2025-09-26 17:23:10,54.38,34.11,1.5943,1.47,0,0-10
2025-09-26 17:24:38,57.75,35.29,1.6364,1.14,1,0-10
2025-09-26 17:26:43,95.27,57.42,1.6592,2.54,1,40-60
2025-09-26 17:28:09,83.71,54.36,1.5399,4.83,0,60-80
2025-09-26 17:30:42,98.83,64.45,1.5334,5.23,1,10-20
2025-09-26 17:32:19,91.63,61.58,1.4880,8.04,1,40-60
2025-09-26 17:33:59,83.84,52.7,1.5909,1.68,0,10-20
2025-09-26 17:35:52,86.08,53.28,1.6156,0.15,0,20-40
2025-09-26 17:37:42,97.34,58.43,1.6659,2.96,1,20-40
2025-09-26 17:39:24,74.19,49.37,1.5027,7.13,0,0-10
2025-09-26 17:41:07,92.54,58.79,1.5741,2.72,0,40-60
2025-09-26 17:43:13,78.54,50.73,1.5482,4.32,0,60-80
2025-09-26 17:44:52,97.55,63.99,1.5245,5.78,1,20-40
2025-09-26 17:46:22,77.84,47.41,1.6418,1.47,0,0-10
2025-09-26 17:47:56,85.1,54.03,1.5751,2.66,0,20-40
2025-09-26 17:49:20,78.31,48.16,1.6260,0.49,1,10-20
2025-09-26 17:50:48,87.48,56.2,1.5566,3.80,0,20-40
2025-09-26 17:52:13,70.49,45.16,1.5609,3.53,0,10-20
2025-09-26 17:53:31,76.29,44.78,1.7037,5.29,0,10-20
2025-09-26 17:54:59,89.52,57.2,1.5650,3.28,1,40-60
2025-09-26 17:56:23,82.58,51.35,1.6082,0.61,0,20-40
2025-09-26 17:57:46,95.64,63.79,1.4993,7.34,1,20-40
2025-09-26 17:59:13,94.55,61.44,1.5389,4.89,1,20-40
2025-09-26 18:00:46,90.17,61.79,1.4593,9.81,1,40-60
2025-09-26 18:02:50,61.68,40.17,1.5355,5.10,0,0-10
2025-09-26 18:04:05,81.51,51.09,1.5954,1.40,0,20-40
2025-09-26 18:05:48,77.44,47.39,1.6341,0.99,1,10-20
2025-09-26 18:07:14,89.73,55.35,1.6211,0.19,0,20-40
2025-09-26 18:08:26,91.86,57.82,1.5887,1.81,1,20-40
2025-09-26 18:10:16,93.06,54.22,1.7163,6.08,1,20-40
2025-09-26 18:11:41,84.74,54.28,1.5612,3.51,0,20-40
2025-09-26 18:15:15,80.67,50.57,1.5952,1.41,0,40-60
2025-09-26 18:19:32,98.91,62.08,1.5933,1.53,1,10-20
2025-09-26 18:24:39,90.06,53.35,1.6881,4.33,0,40-60
2025-09-26 18:26:01,102.09,63.7,1.6027,0.95,1,40-60
2025-09-26 18:27:48,87.59,52.36,1.6728,3.39,0,20-40
2025-09-26 18:29:23,92.14,59.67,1.5442,4.57,1,60-80
2025-09-26 18:31:03,79.54,49.99,1.5911,1.66,0,20-40
2025-09-26 18:32:03,92.33,55.11,1.6754,3.54,1,20-40
2025-09-26 18:33:39,91.79,57.18,1.6053,0.79,0,40-60
2025-09-26 18:34:48,91.47,55.73,1.6413,1.44,1,40-60
2025-09-26 18:36:56,104.06,56.94,1.8275,12.95,1,10-20
2025-09-26 18:38:07,98.37,60.33,1.6305,0.77,1,20-40
2025-09-26 18:39:15,102.6,56.7,1.8095,11.83,1,20-40
2025-09-26 18:40:36,88.59,54.43,1.6276,0.59,0,60-80
2025-09-26 18:42:19,80.56,51.75,1.5567,3.79,0,20-40
2025-09-26 18:43:31,90.06,57.92,1.5549,3.90,1,20-40
2025-09-26 18:44:40,64.69,42.53,1.5210,5.99,0,0-10
2025-09-26 18:45:41,87.93,52.21,1.6842,4.09,0,20-40
2025-09-26 18:46:43,87.33,47.79,1.8274,12.94,1,10-20
2025-09-26 18:48:08,91.16,57.95,1.5731,2.78,0,20-40
2025-09-26 18:49:06,103.49,64.83,1.5963,1.34,1,20-40
2025-09-26 18:50:02,87.51,56.66,1.5445,4.55,1,20-40
2025-09-26 18:51:03,93.2,59.6,1.5638,3.35,1,20-40
2025-09-26 18:52:02,89.24,51.13,1.7454,7.87,0,20-40
2025-09-26 18:54:10,81.53,52.64,1.5488,4.28,0,20-40
2025-09-26 18:55:23,87.77,51.88,1.6918,4.56,1,10-20
2025-09-26 18:56:51,81.06,49.03,1.6533,2.18,1,10-20
2025-09-26 18:58:25,62.55,40.23,1.5548,3.91,1,0-10
2025-09-26 18:59:34,72.33,45.85,1.5775,2.50,0,10-20
2025-09-26 19:00:30,87.23,53.49,1.6308,0.79,0,20-40
2025-09-26 19:01:29,89.75,56.62,1.5851,2.03,0,10-20
2025-09-26 19:02:36,80.26,52.95,1.5158,6.32,0,10-20
2025-09-26 19:03:47,82.58,49.11,1.6815,3.92,0,10-20
2025-09-26 19:04:56,76.07,50.23,1.5144,6.40,1,0-10
2025-09-26 19:06:44,84.15,51.82,1.6239,0.36,0,20-40
2025-09-26 19:08:09,85.86,48.93,1.7548,8.45,0,10-20
2025-09-26 19:09:15,85.73,53.45,1.6039,0.87,0,20-40
2025-09-26 19:10:26,58.0,39.68,1.4617,9.66,0,0-10
2025-09-26 19:11:27,100.8,61.4,1.6417,1.46,1,20-40
2025-09-26 19:12:31,84.29,53.18,1.5850,2.04,1,10-20
2025-09-26 19:13:51,74.75,46.94,1.5925,1.58,1,10-20
2025-09-26 19:14:56,69.54,44.6,1.5592,3.64,0,0-10
2025-09-26 19:15:57,75.32,48.86,1.5415,4.73,1,10-20
2025-09-26 19:17:02,84.46,55.12,1.5323,5.30,0,20-40
2025-09-26 19:17:59,82.53,51.91,1.5899,1.74,0,20-40
2025-09-26 19:19:00,95.36,61.75,1.5443,4.56,1,20-40
2025-09-26 19:21:24,71.4,48.25,1.4798,8.54,1,10-20
2025-09-26 19:24:15,78.52,52.68,1.4905,7.88,1,0-10
2025-09-26 19:25:19,75.74,46.88,1.6156,0.15,0,0-10
2025-09-26 19:26:59,58.02,39.7,1.4615,9.68,0,0-10
2025-09-26 19:27:01,58.02,39.7,1.4615,9.68,0,0-10
2025-09-26 19:27:15,58.02,39.7,1.4615,9.68,0,0-10
2025-09-26 19:28:30,65.36,41.61,1.5708,2.92,0,0-10
2025-09-26 19:29:59,95.41,59.0,1.6171,0.06,1,20-40
2025-09-26 19:31:21,83.1,52.06,1.5962,1.35,0,20-40
2025-09-26 19:33:09,95.6,54.61,1.7506,8.19,0,10-20
2025-09-26 19:34:27,81.32,52.21,1.5576,3.74,0,10-20
2025-09-26 19:35:52,87.95,51.86,1.6959,4.81,0,20-40
2025-09-26 19:37:40,66.65,38.9,1.7134,5.89,0,0-10
2025-09-26 19:37:40,66.65,38.9,1.7134,5.89,0,0-10
2025-09-26 19:39:14,82.05,54.5,1.5055,6.95,0,10-20
2025-09-26 19:40:53,75.92,49.1,1.5462,4.44,0,10-20
2025-09-26 19:42:21,102.9,65.23,1.5775,2.51,1,40-60
2025-09-26 19:43:33,92.04,57.78,1.5929,1.55,1,20-40
2025-09-26 19:45:12,82.04,56.56,1.4505,10.35,0,40-60
2025-09-26 19:46:41,88.81,52.84,1.6807,3.88,0,10-20
2025-09-26 19:47:51,78.6,49.64,1.5834,2.14,0,10-20
2025-09-26 19:49:23,93.81,59.55,1.5753,2.64,0,20-40
2025-09-26 19:51:15,73.56,48.65,1.5120,6.55,1,0-10
2025-09-26 19:52:44,72.78,42.95,1.6945,4.73,0,0-10
2025-09-26 19:54:00,68.84,44.13,1.5599,3.59,0,0-10
2025-09-26 19:55:08,71.83,46.81,1.5345,5.16,0,0-10
2025-09-26 19:56:11,82.21,50.94,1.6139,0.26,0,10-20
2025-09-26 19:57:31,88.66,53.48,1.6578,2.46,1,10-20
2025-09-26 19:58:48,81.93,49.37,1.6595,2.56,0,10-20
2025-09-26 19:59:52,96.4,56.72,1.6996,5.04,0,10-20
2025-09-26 20:01:03,83.99,51.15,1.6420,1.48,1,10-20
2025-09-26 20:02:21,90.97,56.12,1.6210,0.18,0,20-40
2025-09-26 20:04:07,94.99,56.9,1.6694,3.18,0,20-40
2025-09-26 20:06:08,92.39,56.74,1.6283,0.63,0,20-40
2025-09-26 20:08:02,77.66,49.03,1.5839,2.11,1,10-20
2025-09-26 20:09:11,87.09,62.96,1.3833,14.51,1,10-20
2025-09-26 20:09:45,87.09,63.51,1.3713,15.25,1,10-20
2025-09-26 20:09:51,87.09,58.9,1.4786,8.62,1,10-20
